"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	"30-34 years"	"30-34"	1314
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	"35-39 years"	"35-39"	632
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	"40-44 years"	"40-44"	129
	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	"45-49 years"	"45-49"	13
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"Under 15 years"	"15"	10
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"15-19 years"	"15-19"	557
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"20-24 years"	"20-24"	1486
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"25-29 years"	"25-29"	1671
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"30-34 years"	"30-34"	1360
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"35-39 years"	"35-39"	652
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	150
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	"45-49 years"	"45-49"	11
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"15-19 years"	"15-19"	486
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"20-24 years"	"20-24"	1349
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"25-29 years"	"25-29"	1614
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"30-34 years"	"30-34"	1345
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"35-39 years"	"35-39"	616
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"40-44 years"	"40-44"	130
	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	"45-49 years"	"45-49"	15
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"15-19 years"	"15-19"	488
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"20-24 years"	"20-24"	1376
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"25-29 years"	"25-29"	1699
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"30-34 years"	"30-34"	1397
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	681
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	"40-44 years"	"40-44"	141
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	443
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"20-24 years"	"20-24"	1355
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"25-29 years"	"25-29"	1575
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	1357
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"35-39 years"	"35-39"	633
	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	"40-44 years"	"40-44"	147
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"15-19 years"	"15-19"	457
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"20-24 years"	"20-24"	1299
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	1725
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"30-34 years"	"30-34"	1437
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"35-39 years"	"35-39"	671
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	132
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	399
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"20-24 years"	"20-24"	1214
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"25-29 years"	"25-29"	1605
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"30-34 years"	"30-34"	1432
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"35-39 years"	"35-39"	634
	"Delaware"	"10"	"2012"	"2012"	"Female"	"F"	"40-44 years"	"40-44"	132
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"15-19 years"	"15-19"	362
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"20-24 years"	"20-24"	1334
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"25-29 years"	"25-29"	1557
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	1521
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"35-39 years"	"35-39"	657
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	"40-44 years"	"40-44"	150
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	335
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"20-24 years"	"20-24"	1235
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	1529
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"30-34 years"	"30-34"	1443
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"35-39 years"	"35-39"	605
	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	"40-44 years"	"40-44"	138
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"15-19 years"	"15-19"	393
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"20-24 years"	"20-24"	1201
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"25-29 years"	"25-29"	1619
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"30-34 years"	"30-34"	1550
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"35-39 years"	"35-39"	617
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	"40-44 years"	"40-44"	143
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"15-19 years"	"15-19"	306
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"20-24 years"	"20-24"	1137
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"25-29 years"	"25-29"	1613
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"30-34 years"	"30-34"	1497
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"35-39 years"	"35-39"	653
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"40-44 years"	"40-44"	153
	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	"45-49 years"	"45-49"	14
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"15-19 years"	"15-19"	310
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"20-24 years"	"20-24"	1175
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"25-29 years"	"25-29"	1691
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"30-34 years"	"30-34"	1592
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"35-39 years"	"35-39"	655
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	"40-44 years"	"40-44"	160
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"15-19 years"	"15-19"	273
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"20-24 years"	"20-24"	1128
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"25-29 years"	"25-29"	1674
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"30-34 years"	"30-34"	1621
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"35-39 years"	"35-39"	743
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"40-44 years"	"40-44"	146
	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	"45-49 years"	"45-49"	10
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"15-19 years"	"15-19"	267
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"20-24 years"	"20-24"	1159
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"25-29 years"	"25-29"	1652
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"30-34 years"	"30-34"	1582
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"35-39 years"	"35-39"	752
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"40-44 years"	"40-44"	130
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	"45-49 years"	"45-49"	14
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"15-19 years"	"15-19"	298
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"20-24 years"	"20-24"	1026
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"25-29 years"	"25-29"	1588
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"30-34 years"	"30-34"	1551
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"35-39 years"	"35-39"	735
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"40-44 years"	"40-44"	139
	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	"45-49 years"	"45-49"	13
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"15-19 years"	"15-19"	285
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"20-24 years"	"20-24"	1077
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"25-29 years"	"25-29"	1724
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"30-34 years"	"30-34"	1642
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"35-39 years"	"35-39"	748
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"40-44 years"	"40-44"	134
	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	"45-49 years"	"45-49"	17
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"15-19 years"	"15-19"	299
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"20-24 years"	"20-24"	962
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"25-29 years"	"25-29"	1620
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	1499
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	772
	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	122
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"15-19 years"	"15-19"	253
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"20-24 years"	"20-24"	1056
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	1721
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"30-34 years"	"30-34"	1654
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"35-39 years"	"35-39"	713
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"40-44 years"	"40-44"	154
	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	"45-49 years"	"45-49"	10
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"15-19 years"	"15-19"	248
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"20-24 years"	"20-24"	959
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"25-29 years"	"25-29"	1523
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"30-34 years"	"30-34"	1513
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"35-39 years"	"35-39"	754
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"40-44 years"	"40-44"	145
	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	"45-49 years"	"45-49"	12
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"15-19 years"	"15-19"	249
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"20-24 years"	"20-24"	1004
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"25-29 years"	"25-29"	1596
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"30-34 years"	"30-34"	1687
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"35-39 years"	"35-39"	766
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"40-44 years"	"40-44"	148
	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	"45-49 years"	"45-49"	10
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"15-19 years"	"15-19"	214
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"20-24 years"	"20-24"	854
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"25-29 years"	"25-29"	1555
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	1536
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	784
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	163
	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	10
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"15-19 years"	"15-19"	230
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"20-24 years"	"20-24"	985
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"25-29 years"	"25-29"	1655
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"30-34 years"	"30-34"	1617
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	776
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	148
	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	21
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"Under 15 years"	"15"	11
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"15-19 years"	"15-19"	514
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"20-24 years"	"20-24"	937
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"25-29 years"	"25-29"	951
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"30-34 years"	"30-34"	1016
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	721
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"40-44 years"	"40-44"	160
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	"45-49 years"	"45-49"	13
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"Under 15 years"	"15"	10
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"15-19 years"	"15-19"	539
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"20-24 years"	"20-24"	972
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"25-29 years"	"25-29"	1014
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"30-34 years"	"30-34"	1051
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"35-39 years"	"35-39"	774
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	"40-44 years"	"40-44"	168
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"Under 15 years"	"15"	22
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"15-19 years"	"15-19"	525
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"20-24 years"	"20-24"	891
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"25-29 years"	"25-29"	1033
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"30-34 years"	"30-34"	1122
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"35-39 years"	"35-39"	715
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"40-44 years"	"40-44"	162
	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	"45-49 years"	"45-49"	16
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"Under 15 years"	"15"	10
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"15-19 years"	"15-19"	558
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"20-24 years"	"20-24"	1020
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"25-29 years"	"25-29"	1013
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"30-34 years"	"30-34"	1100
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"35-39 years"	"35-39"	759
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"40-44 years"	"40-44"	161
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	"45-49 years"	"45-49"	21
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"Under 15 years"	"15"	11
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"15-19 years"	"15-19"	491
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"20-24 years"	"20-24"	890
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"25-29 years"	"25-29"	1002
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"30-34 years"	"30-34"	1114
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"35-39 years"	"35-39"	736
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"40-44 years"	"40-44"	160
	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	"45-49 years"	"45-49"	17
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"Under 15 years"	"15"	15
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"15-19 years"	"15-19"	543
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"20-24 years"	"20-24"	948
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"25-29 years"	"25-29"	1043
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"30-34 years"	"30-34"	1126
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"35-39 years"	"35-39"	741
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	183
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	"45-49 years"	"45-49"	20
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"15-19 years"	"15-19"	430
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"20-24 years"	"20-24"	903
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"25-29 years"	"25-29"	1013
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"30-34 years"	"30-34"	1194
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"35-39 years"	"35-39"	710
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"40-44 years"	"40-44"	181
	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	"45-49 years"	"45-49"	23
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"15-19 years"	"15-19"	521
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"20-24 years"	"20-24"	966
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"25-29 years"	"25-29"	983
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"30-34 years"	"30-34"	1275
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	747
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"40-44 years"	"40-44"	185
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	"45-49 years"	"45-49"	18
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"Under 15 years"	"15"	15
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	436
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"20-24 years"	"20-24"	940
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"25-29 years"	"25-29"	926
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	1230
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"35-39 years"	"35-39"	735
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"40-44 years"	"40-44"	201
	"District of Columbia"	"11"	"2011"	"2011"	"Female"	"F"	"45-49 years"	"45-49"	20
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"Under 15 years"	"15"	14
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"15-19 years"	"15-19"	443
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"20-24 years"	"20-24"	950
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	962
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"30-34 years"	"30-34"	1392
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"35-39 years"	"35-39"	811
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	203
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	"45-49 years"	"45-49"	14
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	391
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"20-24 years"	"20-24"	869
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"25-29 years"	"25-29"	952
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"30-34 years"	"30-34"	1286
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"35-39 years"	"35-39"	812
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"40-44 years"	"40-44"	244
	"District of Columbia"	"11"	"2012"	"2012"	"Female"	"F"	"45-49 years"	"45-49"	14
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"15-19 years"	"15-19"	400
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"20-24 years"	"20-24"	961
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"25-29 years"	"25-29"	1021
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	1337
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"35-39 years"	"35-39"	842
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"40-44 years"	"40-44"	242
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	"45-49 years"	"45-49"	13
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	313
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"20-24 years"	"20-24"	829
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	910
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"30-34 years"	"30-34"	1387
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"35-39 years"	"35-39"	834
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"40-44 years"	"40-44"	209
	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	"45-49 years"	"45-49"	23
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"Under 15 years"	"15"	11
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"15-19 years"	"15-19"	324
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"20-24 years"	"20-24"	888
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"25-29 years"	"25-29"	954
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"30-34 years"	"30-34"	1499
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"35-39 years"	"35-39"	847
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"40-44 years"	"40-44"	231
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	"45-49 years"	"45-49"	18
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"15-19 years"	"15-19"	276
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"20-24 years"	"20-24"	878
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"25-29 years"	"25-29"	957
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"30-34 years"	"30-34"	1464
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"35-39 years"	"35-39"	887
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"40-44 years"	"40-44"	211
	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	"45-49 years"	"45-49"	29
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"15-19 years"	"15-19"	289
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"20-24 years"	"20-24"	862
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"25-29 years"	"25-29"	994
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"30-34 years"	"30-34"	1470
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"35-39 years"	"35-39"	958
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"40-44 years"	"40-44"	207
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	"45-49 years"	"45-49"	16
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"15-19 years"	"15-19"	248
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"20-24 years"	"20-24"	839
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"25-29 years"	"25-29"	941
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"30-34 years"	"30-34"	1428
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"35-39 years"	"35-39"	971
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"40-44 years"	"40-44"	230
	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	"45-49 years"	"45-49"	20
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"15-19 years"	"15-19"	253
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"20-24 years"	"20-24"	838
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"25-29 years"	"25-29"	1010
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"30-34 years"	"30-34"	1519
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"35-39 years"	"35-39"	1024
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"40-44 years"	"40-44"	224
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	"45-49 years"	"45-49"	24
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"15-19 years"	"15-19"	213
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"20-24 years"	"20-24"	775
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"25-29 years"	"25-29"	987
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"30-34 years"	"30-34"	1478
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"35-39 years"	"35-39"	1019
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"40-44 years"	"40-44"	233
	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	"45-49 years"	"45-49"	26
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	"15-19 years"	"15-19"	247
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	"20-24 years"	"20-24"	817
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	"25-29 years"	"25-29"	1099
	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	"30-34 years"	"30-34"	1609
