"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Anencephalus"	"Anencephalus Code"	"Spina Bifida / Meningocele"	"Spina Bifida / Meningocele Code"	"Omphalocele / Gastroschisis"	"Omphalocele / Gastroschisis Code"	"Cleft Lip / Palate"	"Cleft Lip / Palate Code"	Fetal Deaths	Percent of Total Deaths
	"Texas"	"48"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	15	0.00
	"Texas"	"48"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	10888	2.99
	"Utah"	"49"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	37	0.01
	"Utah"	"49"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	17	0.00
	"Utah"	"49"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	21	0.01
	"Utah"	"49"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2403	0.66
	"Utah"	"49"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1687	0.46
	"Vermont"	"50"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	209	0.06
	"Vermont"	"50"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	42	0.01
	"Vermont"	"50"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	138	0.04
	"Virginia"	"51"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	25	0.01
	"Virginia"	"51"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	13	0.00
	"Virginia"	"51"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	29	0.01
	"Virginia"	"51"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	26	0.01
	"Virginia"	"51"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	5781	1.59
	"Virginia"	"51"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	483	0.13
	"Virginia"	"51"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	3282	0.90
	"Washington"	"53"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	73	0.02
	"Washington"	"53"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	34	0.01
	"Washington"	"53"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	25	0.01
	"Washington"	"53"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	50	0.01
	"Washington"	"53"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	3555	0.98
	"Washington"	"53"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	855	0.23
	"Washington"	"53"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	2982	0.82
	"West Virginia"	"54"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	10	0.00
	"West Virginia"	"54"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	10	0.00
	"West Virginia"	"54"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	985	0.27
	"West Virginia"	"54"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	17	0.00
	"West Virginia"	"54"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	613	0.17
	"Wisconsin"	"55"	"Yes"	"1"	"No"	"2"	"No"	"2"	"No"	"2"	50	0.01
	"Wisconsin"	"55"	"No"	"2"	"Yes"	"1"	"No"	"2"	"No"	"2"	10	0.00
	"Wisconsin"	"55"	"No"	"2"	"No"	"2"	"Yes"	"1"	"No"	"2"	28	0.01
	"Wisconsin"	"55"	"No"	"2"	"No"	"2"	"No"	"2"	"Yes"	"1"	32	0.01
	"Wisconsin"	"55"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	2946	0.81
	"Wisconsin"	"55"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	"Not classifiable"	"9"	275	0.08
	"Wisconsin"	"55"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	1982	0.54
	"Wyoming"	"56"	"No"	"2"	"No"	"2"	"No"	"2"	"No"	"2"	344	0.09
	"Wyoming"	"56"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	"Not Available"	"110"	241	0.07
"---"
"Dataset: Fetal Deaths, 2005-2019"
"Query Parameters:"
"Group By: Standard Residence States; Anencephalus; Spina Bifida / Meningocele; Omphalocele / Gastroschisis; Cleft Lip / Palate"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/fetal-deaths.html for more information."
"---"
<<<<<<< HEAD
"Query Date: May 4, 2022 11:08:21 AM"
=======
"Query Date: May 4, 2022 6:11:02 PM"
>>>>>>> cf722e26b640d46b8118a1d6a6da6ded102defa1
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Fetal Deaths 2005-2019, as compiled"
"from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program, on CDC WONDER"
<<<<<<< HEAD
"Online Database. Accessed at http://wonder.cdc.gov/fetal-deaths-current.html on May 4, 2022 11:08:21 AM"
=======
"Online Database. Accessed at http://wonder.cdc.gov/fetal-deaths-current.html on May 4, 2022 6:11:02 PM"
>>>>>>> cf722e26b640d46b8118a1d6a6da6ded102defa1
"---"
Messages:
"1. Rows with suppressed Fetal Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears instead of fetal deaths and percent of total values when the death value represents 0-9 sub-national"
"events. This is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/fetal-deaths.html#Assurance of Confidentiality."
"2. Please note that the Percent of Total presented here may not be consistent with percentages published by NCHS. NCHS excludes"
"fetal deaths categorized as ""Unknown"", ""Not Stated"", ""Not on Certificate"", ""Excluded"", and ""Not Reported"" from the"
"denominator when calculating percentages."
"3. Anencephalus is coded to ""Not Reported"" for the following years and reporting areas: Georgia 2007; Hawaii 2005-2013; New"
"Mexico 2005-2009; New York, Upstate 2005-2009; New York City 2005-2010."
"4. Spina Bifida/Meningocele is coded to ""Not Reported"" for the following years and reporting areas: Georgia 2007; Hawaii"
"2005-2013; New Mexico 2005-2009; New York, Upstate 2005-2009; New York City 2005-2010."
"5. Omphalocele/Gastroschisis is coded to ""Not Reported"" for the following years and reporting areas: Georgia 2007; Hawaii"
"2005-2013; New Mexico 2005-2009; New York, Upstate 2005-2009; New York City 2005-2010."
"6. Cleft Lip/Palate is coded to ""Not Reported"" for the following years and reporting areas: Georgia 2007; Hawaii 2005-2013;"
"New Mexico 2005-2009; New York, Upstate 2005-2009; New York City 2005-2010."
"7. Anencephalus is not available in all years after 2013. For 2014 and later years, Anencephalus has been coded to ""Not"
"Available""."
"8. Spina Bifida / Meningocele is not available in all years after 2013. For 2014 and later years, Spina Bifida / Meningocele has"
"been coded to ""Not Available""."
"9. Omphalocele / Gastroschisis is not available in all years after 2013. For 2014 and later years, Omphalocele / Gastroschisis"
"has been coded to ""Not Available""."
"10. Cleft Lip / Palate is not available in all years after 2013. For 2014 and later years, Cleft Lip / Palate has been coded to"
"""Not Available""."
"11. Beginning in 2014, NCHS changed the standard for gestational period from the Last Menstrual Period (LMP) based gestational"
"age to the Obstetric/clinical Estimate (OE) based gestational age. This change has resulted in a discontinuity in identifying"
"fetal deaths at 20 weeks or greater for inclusion in this dataset. Refer to the User Guide to the Fetal Death Public Use File:"
"https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm. and the Measuring Gestational Age in Vital Statistics Data:"
"Transitioning to the Obstetric Estimate: https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_05.pdf. report for more information."
